price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,water_softener,bathrooms,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,primary_energy_consumption,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,wash_room,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,cadastral_income,vat,property_subtype,postal_code,property_type,area_missing,build_year_missing,garden_surface_missing,terrace_surface_missing,land_surface_missing,primary_energy_consumption_missing,living_room_surface_missing,cadastral_income_missing
265000.0,20,120.0,2,4,2,1,0,2,1,1988.0,2,0,2,2,0,2,3,2,0,0,0,200.0,1,15.0,1,405.0,2,2,232.0,0,0,2,0,0,0,2,0,0,32.0,2,0,1,2,2,0,15,0,28,7,800.0,1,0,2100,0,0,0,1,0,1,1,1,1
274000.0,1,83.0,2,4,2,1,0,2,1,2011.0,2,1,2,2,19,1,6,2,0,0,0,200.0,1,14.0,1,405.0,2,2,183.0,0,0,2,0,0,0,2,0,0,32.0,2,1,0,2,2,0,15,0,30,18,800.0,1,0,2000,0,0,1,1,1,1,0,1,1
359000.0,13,74.0,3,4,1,1,0,2,1,2018.0,2,1,2,2,0,2,6,2,2,2,0,200.0,1,17.0,1,405.0,2,2,67.0,2,0,2,2,0,2,2,0,0,35.0,2,1,1,2,2,2,18,0,30,0,800.0,1,0,2050,0,0,0,1,0,1,0,0,1
176000.0,1,65.0,4,1,0,1,0,2,1,1967.0,2,1,2,2,0,2,2,2,2,2,0,200.0,1,3.0,1,405.0,2,1,160.0,0,0,2,0,0,2,2,0,0,32.0,2,1,1,2,2,2,24,0,8,0,800.0,1,0,2610,0,0,0,1,0,1,0,1,1
425000.0,20,143.0,2,1,0,1,0,2,1,2011.0,2,0,2,2,0,2,3,2,2,2,0,200.0,1,6.0,1,405.0,2,2,155.0,1,0,2,2,0,2,2,0,0,32.0,2,1,1,2,2,2,15,0,20,7,800.0,1,0,2600,0,0,1,1,0,1,0,1,1
460000.0,13,98.0,2,4,2,1,0,2,1,2011.0,2,1,2,2,0,2,3,2,0,0,0,200.0,1,5.0,1,405.0,2,2,88.0,0,0,2,2,0,0,2,0,0,32.0,2,0,0,2,2,0,15,0,25,18,800.0,1,0,2000,0,0,1,1,0,1,0,1,1
275000.0,13,105.0,0,1,0,1,0,2,1,1966.0,2,1,2,2,0,2,1,2,2,2,0,200.0,1,10.0,1,405.0,2,1,278.0,2,0,2,1,0,2,2,0,0,32.0,2,1,1,2,2,2,11,0,7,0,800.0,1,0,2050,0,0,0,1,0,1,0,1,1
265000.0,1,91.0,0,1,0,0,1,2,1,2016.0,2,0,2,2,0,2,5,2,2,2,0,200.0,1,14.0,1,405.0,2,2,125.0,1,0,2,0,0,2,2,0,0,32.0,2,1,1,2,2,2,27,0,30,0,800.0,1,0,2660,0,0,0,1,1,1,0,1,1
189000.0,13,94.0,4,1,0,0,0,2,1,1967.0,2,0,2,2,0,2,3,2,2,2,0,200.0,1,14.0,1,405.0,2,1,160.0,1,0,2,0,0,2,2,0,0,31.0,2,1,1,2,2,2,11,0,22,0,907.0,1,0,2100,0,0,0,1,1,1,0,0,0
154000.0,13,70.0,4,2,0,1,0,2,1,1967.0,2,0,2,2,0,2,3,2,2,2,0,200.0,1,4.0,1,405.0,2,2,207.0,1,0,2,0,0,2,2,0,0,30.0,2,1,1,2,2,2,11,0,30,0,711.0,1,0,2100,0,0,0,1,0,1,0,0,0
